Date : 2024-11-09 15:32:43
Directory : /Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib
Total : 173 files,  8301 codes, 193 comments, 681 blanks, all 9175 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        171 |      8,141 |        193 |        681 |      9,015 |
| JSON     |          2 |        160 |          0 |          0 |        160 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                             |        173 |      8,301 |        193 |        681 |      9,175 |
| . (Files)                                                                                                                                                                                     |          1 |         46 |          1 |          3 |         50 |
| core                                                                                                                                                                                          |         27 |        995 |         29 |         70 |      1,094 |
| core/components                                                                                                                                                                               |         15 |        379 |         28 |         29 |        436 |
| core/errors                                                                                                                                                                                   |          1 |         45 |          0 |          5 |         50 |
| core/utilities                                                                                                                                                                                |         11 |        571 |          1 |         36 |        608 |
| features                                                                                                                                                                                      |        139 |      6,157 |         47 |        491 |      6,695 |
| features/home                                                                                                                                                                                 |          9 |        464 |         13 |         47 |        524 |
| features/home/data                                                                                                                                                                            |          1 |         89 |          4 |          4 |         97 |
| features/home/data/models                                                                                                                                                                     |          1 |         89 |          4 |          4 |         97 |
| features/home/presentation                                                                                                                                                                    |          8 |        375 |          9 |         43 |        427 |
| features/home/presentation/managers                                                                                                                                                           |          2 |         29 |          2 |          7 |         38 |
| features/home/presentation/managers/language                                                                                                                                                  |          2 |         29 |          2 |          7 |         38 |
| features/home/presentation/views                                                                                                                                                              |          6 |        346 |          7 |         36 |        389 |
| features/home/presentation/views (Files)                                                                                                                                                      |          1 |         15 |          0 |          2 |         17 |
| features/home/presentation/views/widgets                                                                                                                                                      |          5 |        331 |          7 |         34 |        372 |
| features/homeBody                                                                                                                                                                             |        128 |      5,595 |         32 |        433 |      6,060 |
| features/homeBody/aboutUs                                                                                                                                                                     |          8 |        196 |          0 |         27 |        223 |
| features/homeBody/aboutUs/data                                                                                                                                                                |          3 |         61 |          0 |         17 |         78 |
| features/homeBody/aboutUs/data/models                                                                                                                                                         |          1 |         32 |          0 |         14 |         46 |
| features/homeBody/aboutUs/data/repository                                                                                                                                                     |          2 |         29 |          0 |          3 |         32 |
| features/homeBody/aboutUs/presentation                                                                                                                                                        |          5 |        135 |          0 |         10 |        145 |
| features/homeBody/aboutUs/presentation/manager                                                                                                                                                |          3 |         36 |          0 |          3 |         39 |
| features/homeBody/aboutUs/presentation/manager/aboutUs                                                                                                                                        |          3 |         36 |          0 |          3 |         39 |
| features/homeBody/aboutUs/presentation/views                                                                                                                                                  |          2 |         99 |          0 |          7 |        106 |
| features/homeBody/aboutUs/presentation/views (Files)                                                                                                                                          |          1 |         52 |          0 |          4 |         56 |
| features/homeBody/aboutUs/presentation/views/components                                                                                                                                       |          1 |         47 |          0 |          3 |         50 |
| features/homeBody/ads                                                                                                                                                                         |          9 |        297 |          0 |         26 |        323 |
| features/homeBody/ads/data                                                                                                                                                                    |          3 |         74 |          0 |         14 |         88 |
